# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
cheap-trick--i-want-you-to-want-me|104760756|191|92.7|I Want You to Want Me
cheap-trick--surrender|13165306|253|133.8|Surrender
children-of-bodom--done-with-everything-die-for-nothing|2213360907|209|0|Done with Everything, Die for Nothing
children-of-bodom--if-you-want-peace-prepare-for-war|2213317867|237|0|If You Want Peace... Prepare For War
cold-war-kids--hang-me-up-to-dry|91037169|218|0|Hang Me Up to Dry
coldplay--in-my-place|3098838|226|144.6|In My Place
coldplay--shiver|3128093|304|117.1|Shiver
corinne-bailey-rae--put-your-records-on|3119484|215|95.9|Put Your Records On
corrosion-of-conformity--albatross|3786118382|359|0|Albatross (Live at Harpo's Concert Theatre, Detroit 20.04.2001)
count-zero--radium-eyes|11341968|206|124.2|Radium Eyes (GH2)
count-zero--sail-your-ship-by|1763589|264|136.4|Sail Your Ship By
counting-crows--angels-of-the-silences|2963058|218|158.4|Angels Of The Silences
cream--crossroads|1175616|254|131.7|Crossroads (Live)
cream--sunshine-of-your-love|1175615|250|115.2|Sunshine Of Your Love
creedence-clearwater-revival--fortunate-son|883648|138|132.9|Fortunate Son
creedence-clearwater-revival--up-around-the-bend|883663|159|130.4|Up Around The Bend
culture-club--do-you-really-want-to-hurt-me|3152785|262|100.3|Do You Really Want To Hurt Me
danzig--mother|7597630|206|152|Mother
darker-my-love--blue-day|||0|
darkest-hour--demon-s|1286112112|228|0|DEMON(S)
dashboard-confessional--hands-down|661533112|187|187.9|Hands Down
david-bowie--fame|141820055|261|95.9|Fame (2016 Remaster)
david-bowie--lets-dance|565656032|249|113.9|Let's Dance (2018 Remaster)
david-bowie--ziggy-stardust|107471936|193|158.4|Ziggy Stardust (2012 Remaster)
dead-kennedys--holiday-in-cambodia|1360041482|277|0|Holiday in Cambodia
dead-kennedys--police-truck|1668747012|145|0|Police Truck
deap-vally--lies|68119545|185|162.8|Lies
deep-purple--burn|3106906|364|98.7|Burn (Remastered 2004)
deep-purple--hush|3436057|266|108.2|Hush (1998 Remaster)
deep-purple--smoke-on-the-water|60840057|340|113.9|Smoke On The Water (Remastered 2012)
deep-purple--space-truckin|60840059|271|129.2|Space Truckin' (Remastered 2012)
deep-purple--woman-from-tokyo|3435681|348|126.8|Woman From Tokyo (Remastered 2000)
def-leppard--pour-some-sugar-on-me|447552822|265|170.1|Pour Some Sugar On Me
dethklok--bloodlines|63302812|210|110|Bloodlines (album)
dethklok--thunderhorse|730763|165|0|Thunderhorse
devo--whip-it|14631314|165|159.6|Whip It (Live)
diamond-head--am-i-evil|665427042|440|0|Am I Evil
dick-dale--misirlou|7680019|160|98.2|Misirlou
die-toten-hosen--hier-kommt-alex|142393465|234|133.8|Hier kommt Alex
din--fly-on-the-wall|76727554|179|149.8|Fly On The Wall
dinosaur-jr--feel-the-pain|2970432181|258|131.2|Feel the Pain
dio--holy-diver|1145260|340|182.9|Holy Diver
dire-straits--money-for-nothing|2514681|505|134.2|Money For Nothing
dire-straits--sultans-of-swing|2263033|350|148.2|Sultans Of Swing
disturbed--stricken|788807|245|0|Stricken
don-mclean--american-pie|3156285|517|138.7|American Pie
dope--nothing-for-me-here|66024300|183|173|Nothing For Me Here
dragonforce--fury-of-the-storm|2213738057|406|0|Fury of the Storm
dragonforce--through-the-fire-and-flames|2213095667|439|0|Through The Fire And Flames
